Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
gpt-4.1-2025-04-14_TWO_SHOT,8192,Yes,1,0.77,0.84,0.82,0.87,1.0894323395144554
gpt-4.1-2025-04-14_TWO_SHOT,8192,Yes,2,0.65,0.84,0.84,0.86,1.0825781407563582
gpt-4.1-2025-04-14_TWO_SHOT,8192,Yes,3,0.42,0.8,0.82,0.81,1.2414412438114988
gpt-4.1-2025-04-14_TWO_SHOT,12288,No,1,0.77,0.83,0.81,0.85,1.1611955165863037
gpt-4.1-2025-04-14_TWO_SHOT,12288,No,2,0.59,0.81,0.82,0.82,1.15816747278407
gpt-4.1-2025-04-14_TWO_SHOT,12288,No,3,0.37,0.8,0.8,0.81,1.2889468488813955
gpt-4.1-2025-04-14_TWO_SHOT,12288,Yes,1,0.77,0.84,0.82,0.87,1.4223936027096165
gpt-4.1-2025-04-14_TWO_SHOT,12288,Yes,2,0.67,0.86,0.87,0.87,1.128028582835543
gpt-4.1-2025-04-14_TWO_SHOT,12288,Yes,3,0.43,0.81,0.83,0.81,1.1144641501994073
microsoft_phi-4,1024,No,1,0.35,0.65,0.58,0.81,3.3564529918855235
microsoft_phi-4,1024,No,2,0.25,0.62,0.66,0.6,4.269559248634007
microsoft_phi-4,1024,No,3,0.03,0.58,0.68,0.52,5.33445215828811
microsoft_phi-4,1024,Yes,1,0.37,0.73,0.64,0.9,3.316714125294839
microsoft_phi-4,1024,Yes,2,0.33,0.66,0.68,0.65,4.15961139789526
microsoft_phi-4,1024,Yes,3,0.09,0.57,0.64,0.53,5.124725749221029
microsoft_phi-4,2048,No,1,0.34,0.61,0.54,0.76,4.258261680603027
microsoft_phi-4,2048,No,2,0.23,0.63,0.67,0.61,5.692786551903987
microsoft_phi-4,2048,No,3,0.01,0.57,0.69,0.51,7.839634985863408
microsoft_phi-4,2048,Yes,1,0.37,0.7,0.62,0.87,4.1600617324152305
microsoft_phi-4,2048,Yes,2,0.3,0.64,0.64,0.64,5.550270156583924
microsoft_phi-4,2048,Yes,3,0.04,0.56,0.63,0.52,7.6423666115048565
microsoft_phi-4,4096,No,1,0.34,0.61,0.54,0.76,5.421091656531057
