set,split,concern_count,cross_concern_file_overlap,overlaps_reference_set,n_files,n_hunks,hunks_per_file,distinct_function_contexts,function_context_coverage,within_function_coediting,median_line_gap,total_changed_lines,set1_variant
synthetic,train,3.0,0.0,False,5,9,1.8,5,1.0,1,52.5,83,full
synthetic,train,3.0,0.0,False,6,9,1.5,6,0.8888888888888888,1,62.0,172,full
synthetic,train,3.0,0.0,False,7,22,3.142857142857143,7,0.36363636363636365,1,750.0,321,full
synthetic,train,3.0,0.0,False,7,16,2.2857142857142856,10,0.8125,1,18.0,126,full
synthetic,train,3.0,0.0,True,3,10,3.3333333333333335,3,1.0,1,46.0,104,full
synthetic,train,3.0,0.0,False,3,5,1.6666666666666667,5,1.0,0,45.5,139,full
synthetic,train,3.0,0.0,False,5,6,1.2,1,0.3333333333333333,1,76.0,576,full
synthetic,train,3.0,0.0,False,6,11,1.8333333333333333,10,1.0,1,98.0,192,full
synthetic,train,3.0,0.0,False,7,21,3.0,7,0.3333333333333333,0,861.0,319,full
synthetic,train,3.0,0.0,False,8,44,5.5,25,0.9772727272727273,1,25.5,349,full
synthetic,train,3.0,0.0,False,6,12,2.0,10,1.0,1,16.5,29,full
synthetic,train,3.0,0.0,False,5,9,1.8,5,0.8888888888888888,1,20.0,67,full
synthetic,train,3.0,0.0,False,9,23,2.5555555555555554,14,0.782608695652174,1,25.5,65,full
synthetic,train,3.0,0.0,False,5,12,2.4,3,0.5833333333333334,1,52.0,73,full
synthetic,train,3.0,0.0,False,13,16,1.2307692307692308,7,0.5,1,19.0,51,full
synthetic,train,3.0,0.0,False,3,4,1.3333333333333333,3,0.75,0,149.0,95,full
synthetic,train,3.0,0.0,False,6,7,1.1666666666666667,5,0.7142857142857143,0,472.0,50,full
synthetic,train,3.0,0.0,False,3,3,1.0,3,1.0,0,,17,full
synthetic,train,3.0,0.0,False,6,18,3.0,7,1.0,1,13.5,51,full
synthetic,train,3.0,0.0,False,15,22,1.4666666666666666,15,0.9545454545454546,1,13.0,111,full
synthetic,train,3.0,0.0,False,3,8,2.6666666666666665,5,1.0,1,15.0,28,full
synthetic,train,3.0,0.0,False,5,9,1.8,5,0.7777777777777778,1,62.5,150,full
synthetic,train,3.0,0.0,False,3,3,1.0,3,1.0,0,,30,full
synthetic,train,3.0,0.0,False,9,19,2.111111111111111,16,0.8947368421052632,1,13.0,91,full
synthetic,train,3.0,0.0,False,3,11,3.6666666666666665,4,0.9090909090909091,1,18.0,95,full
synthetic,train,3.0,0.0,False,4,4,1.0,3,0.75,0,,125,full
synthetic,train,3.0,0.0,False,4,5,1.25,5,1.0,0,71.0,25,full
synthetic,train,3.0,0.0,True,4,13,3.25,12,0.9230769230769231,0,24.0,229,full
synthetic,train,3.0,0.0,False,10,17,1.7,12,0.8235294117647058,1,30.0,113,full
synthetic,train,3.0,0.0,False,4,5,1.25,3,0.8,1,12.0,95,full
